Inf,Name,Position,Act Pos,Nat,Age,Club,Wage,Transfer Value,Personality,Left Foot,Right Foot,Com,Ecc,Pun,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Fre,L Th,Pen,Nat,Height,Av Rat,Division,Injury Risk,Expires
Inj,Chris Richards,"D (RLC), WB (R)",DC,USA,24,Crystal Palace,"£50,000 p/w",£18.5M - £21M,Resolute,Fairly Strong,Very Strong,3,1,3,3,14,2,14,13,13,13,15,1,13,10,10,12,15,11,6,12,11,3,15,16,3,6,6,13,11,15,12,13,3,14,13,14,14,12,1,1,11,14,4,4,6,6,13,"6'2""",6.79,English Premier Division,High,30/6/2026
Int,Jean-Philippe Mateta,ST (C),ST,COD,27,Crystal Palace,"£50,000 p/w",£2.7M - £4.5M,Balanced,Reasonable,Very Strong,3,1,1,2,14,2,12,13,12,13,13,2,10,12,8,12,12,13,14,13,14,2,14,16,3,8,11,8,13,13,10,11,2,11,15,8,13,13,1,1,10,14,7,8,4,12,11,"6'4""",6.6,English Premier Division,Increased,30/6/2025
Unh,Will Hughes,"DM, M (RC)",CM,ENG,29,Crystal Palace,"£50,000 p/w",£2.1M - £2.9M,Resolute,Very Strong,Reasonable,1,3,3,2,10,2,16,11,14,12,15,1,13,14,11,14,15,11,9,12,11,1,10,13,1,13,10,14,12,11,13,13,1,14,13,14,15,13,2,2,13,17,11,12,6,11,12,"6'1""",6.72,English Premier Division,Increased,30/6/2024
Wnt,Marc Guéhi,D (C),CB,ENG,24,Crystal Palace,"£45,000 p/w",£40M - £45M,Resolute,Fairly Strong,Very Strong,2,3,3,1,15,1,11,15,14,14,13,2,14,14,7,13,15,13,9,14,11,4,13,14,2,15,8,14,9,14,13,15,1,14,14,15,13,15,2,3,11,14,5,7,9,8,16,"6'0""",6.94,English Premier Division,Increased,30/6/2025
Wnt,Chadi Riad,D (C),DC,MAR,21,Crystal Palace,"£45,000 p/w",£38M - £51M,Balanced,Very Strong,Reasonable,1,3,3,3,12,2,14,12,13,12,14,1,12,12,7,13,14,10,6,12,7,3,14,15,4,12,6,14,8,14,13,13,3,12,13,13,15,13,3,1,12,14,5,5,9,7,14,"6'2""",-,English Premier Division,Increased,30/6/2028
,Adam Wharton,"DM, M (C)",CM,ENG,20,Crystal Palace,"£45,000 p/w",£52M - £75M,Fairly Professional,Very Strong,Strong,1,2,1,4,13,2,12,14,12,16,12,2,11,13,12,11,13,14,8,16,15,3,9,11,1,7,10,6,11,13,16,12,3,13,10,10,13,16,1,3,16,14,13,13,2,10,13,"6'0""",7,English Premier Division,High,30/6/2028
,Matt Turner,GK,GK,USA,30,Crystal Palace,"£40,000 p/w",£12.5M - £19.5M,Fairly Determined,Reasonable,Very Strong,13,10,6,14,11,14,6,15,12,6,14,15,14,12,3,13,15,7,2,7,6,15,2,12,11,8,2,2,2,10,8,15,16,12,14,2,11,7,10,7,9,10,4,5,1,1,6,"6'3""",-,English Premier Division,Increased,31/5/2024
,Trevoh Chalobah,"D (RC), DM",CD,ENG,25,Crystal Palace,"£40,000 p/w",£31M - £40M,Fairly Sporting,Fairly Strong,Very Strong,2,2,3,4,14,1,12,11,14,14,13,1,17,15,11,15,13,10,8,13,12,1,13,15,2,8,9,14,8,15,12,14,2,14,14,15,15,13,3,2,12,15,6,10,6,6,15,"6'4""",6.92,English Premier Division,High,31/5/2024
Wnt,Tyrick Mitchell,D/WB (L),LB,ENG,25,Crystal Palace,"£40,000 p/w",£9.6M - £11M,Spirited,Very Strong,Reasonable,3,2,3,1,15,1,15,15,13,15,13,3,13,13,10,12,13,12,8,12,11,3,11,9,1,8,9,12,13,16,13,14,1,14,13,17,15,12,1,3,13,15,7,7,12,7,16,"5'9""",6.89,English Premier Division,High,30/6/2024
Agn,Joel Ward,D (RLC),DC,ENG,35,Crystal Palace,"£40,000 p/w",£50K - £210K,Driven,Reasonable,Very Strong,2,1,3,3,8,3,15,10,14,12,16,1,16,11,10,13,18,8,5,10,3,3,14,15,3,15,8,14,10,9,11,14,3,13,13,15,16,11,1,2,9,15,6,7,10,5,15,"6'2""",6.88,English Premier Division,Low,30/6/2024
Inj,Daniel Muñoz,"D (RC), WB (R)",RB,COL,28,Crystal Palace,"£40,000 p/w",£2.6M - £4.2M,Fairly Determined,Weak,Very Strong,3,2,3,2,13,2,10,10,15,13,13,3,13,12,13,12,15,11,9,9,9,2,13,13,2,15,15,13,11,13,10,13,2,13,13,14,14,10,4,1,11,15,10,8,15,8,13,"5'11""",6.88,English Premier Division,Very High,30/6/2026
Inj,Nathaniel Clyne,"D (RL), WB (R)",RB,ENG,33,Crystal Palace,"£30,000 p/w",£110K - £300K,Balanced,Fairly Strong,Very Strong,2,3,1,1,13,2,14,12,14,12,14,3,15,13,10,12,12,10,5,11,8,1,10,9,3,11,4,14,12,11,11,14,2,13,12,14,15,13,2,3,11,16,5,6,11,5,11,"5'9""",6.57,English Premier Division,Very High,30/6/2024
Inj,Matheus França,"M (C), AM (LC)",MC,BRA,20,Crystal Palace,"£25,000 p/w",£14M - £17M,Fairly Determined,Reasonable,Very Strong,1,3,3,2,14,2,11,15,12,13,12,4,11,13,10,12,15,14,10,14,15,1,10,11,3,8,12,10,12,14,14,12,1,12,11,11,12,14,1,4,13,12,13,9,3,11,15,"6'0""",7.26,English Premier Division,Normal,30/6/2027
Spt,Remi Matthews,GK,GK,ENG,30,Crystal Palace,"£5,000 p/w",£35K - £55K,Balanced,Reasonable,Very Strong,11,10,13,12,8,14,7,12,10,11,12,11,9,12,1,11,9,1,1,8,1,11,6,15,13,9,3,2,5,9,5,12,11,14,13,2,12,10,11,12,9,9,3,7,3,2,10,"6'3""",-,English Premier Division,High,30/6/2024
