Inf,Name,Position,Act Pos,Nat,Age,Club,Wage,Transfer Value,Personality,Left Foot,Right Foot,Com,Ecc,Pun,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Fre,L Th,Pen,Nat,Height,Division,Injury Risk,Expires
Wnt,Chris Richards,D (RLC),DC,USA,24,Crystal Palace,"£50,000 p/w",£13M - £14.5M,Resolute,Fairly Strong,Very Strong,3,1,3,3,14,2,14,13,13,13,15,1,13,10,10,12,15,11,6,12,11,3,15,16,3,6,6,13,11,15,12,13,3,14,13,14,14,12,1,1,11,14,4,4,6,6,13,"6'2""",English Premier Division,Increased,30/6/2026
Wnt,Will Hughes,"DM, M (RC)",CM,ENG,29,Crystal Palace,"£50,000 p/w",£7.4M - £8M,Resolute,Very Strong,Reasonable,1,3,3,2,10,2,16,11,14,12,15,1,13,14,11,14,15,12,9,12,11,1,10,13,1,13,10,14,12,11,13,13,1,14,13,14,15,13,2,2,13,17,11,12,6,11,12,"6'1""",English Premier Division,Increased,30/6/2024
Wnt,Cheick Doucouré,"DM, M (C)",CM,MLI,24,Crystal Palace,"£70,000 p/w",£27M - £30M,Spirited,Reasonable,Very Strong,2,2,2,3,13,1,14,13,15,14,14,1,13,14,9,13,15,12,9,15,10,2,12,12,2,10,11,14,12,13,15,14,1,14,13,15,14,14,1,2,15,14,8,8,10,10,14,"5'11""",English Premier Division,Increased,30/6/2028
Lst,Jeffrey Schlupp,"M (LC), AM (L)",CM,GHA,31,Crystal Palace,"£60,000 p/w",£2.3M,Balanced,Very Strong,Weak,3,4,2,4,15,1,10,14,12,13,14,3,11,12,11,11,13,13,12,12,12,1,10,11,2,8,9,11,13,14,11,12,2,15,13,11,14,13,1,1,10,14,8,9,10,10,13,"5'10""",English Premier Division,Increased,30/6/2024
Wnt,Jean-Philippe Mateta,ST (C),ST,FRA,27,Crystal Palace,"£50,000 p/w",£9.2M - £10M,Balanced,Reasonable,Very Strong,3,1,1,2,14,2,12,13,12,13,13,2,10,12,8,12,12,13,14,13,14,2,14,16,3,8,11,8,13,13,10,11,2,11,15,8,13,13,1,1,10,14,7,8,4,12,11,"6'4""",English Premier Division,Increased,30/6/2025
,Joel Ward,D (RLC),DC,ENG,34,Crystal Palace,"£40,000 p/w",£325K - £700K,Driven,Reasonable,Very Strong,2,1,3,3,9,3,15,11,14,12,16,1,16,11,10,13,18,9,5,10,3,3,14,15,3,15,8,14,10,10,11,14,3,13,14,15,16,11,1,2,9,15,6,7,10,5,15,"6'2""",English Premier Division,Increased,30/6/2024
,Nathaniel Clyne,"D (RL), WB (R)",RB,ENG,33,Crystal Palace,"£30,000 p/w",£500K - £800K,Balanced,Fairly Strong,Very Strong,2,3,1,1,13,2,14,12,14,12,14,3,15,13,10,12,12,10,5,11,8,1,10,9,3,11,4,14,12,12,11,14,2,14,13,14,15,13,2,3,11,16,5,6,11,5,11,"5'9""",English Premier Division,Increased,30/6/2024
,Chadi Riad,D (C),DC,MAR,21,Crystal Palace,"£45,000 p/w",£38M - £51M,Balanced,Very Strong,Reasonable,1,3,3,3,12,2,14,12,13,12,14,1,12,12,7,13,14,10,6,12,7,3,14,15,4,12,6,14,8,14,13,13,3,12,13,13,15,13,3,1,12,14,5,5,9,7,14,"6'2""",English Premier Division,Increased,30/6/2028
,Adam Wharton,"DM, M (C)",MC,ENG,20,Crystal Palace,"£45,000 p/w",£33M - £46M,Fairly Professional,Very Strong,Strong,1,2,1,4,13,2,12,13,12,15,12,2,10,13,12,10,13,14,8,16,15,3,8,11,1,7,9,6,11,12,16,11,3,12,9,10,13,16,1,3,15,13,12,12,2,10,13,"6'0""",English Premier Division,Increased,30/6/2028
,Daniel Muñoz,"D (RC), WB (R)",RB,COL,28,Crystal Palace,"£40,000 p/w",£5.4M - £6M,Fairly Determined,Weak,Very Strong,3,2,3,2,13,2,10,10,15,13,13,3,13,12,13,12,15,11,9,9,9,2,13,13,2,15,15,13,11,13,10,13,2,14,13,14,14,10,4,1,11,15,10,8,15,8,13,"5'11""",English Premier Division,Increased,30/6/2026
ESC,Matheus França,"M (C), AM (LC)",MC,BRA,20,Crystal Palace,"£25,000 p/w",£14M - £17M,Fairly Determined,Reasonable,Very Strong,1,3,3,2,14,2,11,14,12,13,12,4,11,12,10,12,15,14,10,14,15,1,10,11,3,8,11,10,12,14,14,11,1,12,11,11,12,14,1,4,13,12,13,8,3,11,14,"6'0""",English Premier Division,Increased,30/6/2027
,Remi Matthews,GK,GK,ENG,30,Crystal Palace,"£5,000 p/w",£120K - £190K,Balanced,Reasonable,Very Strong,11,10,13,12,8,14,7,12,10,11,12,11,9,12,1,11,9,1,1,8,1,11,6,15,13,9,3,2,5,9,5,12,11,14,13,2,12,10,11,12,9,9,3,8,3,2,10,"6'3""",English Premier Division,Increased,30/6/2024
