Inf,Name,Position,Act Pos,Nat,Age,Club,Wage,Transfer Value,Personality,Left Foot,Right Foot,Com,Ecc,Pun,1v1,Acc,Aer,Agg,Agi,Ant,Bal,Bra,Cmd,Cnt,Cmp,Cro,Dec,Det,Dri,Fin,Fir,Fla,Han,Hea,Jum,Kic,Ldr,Lon,Mar,OtB,Pac,Pas,Pos,Ref,Sta,Str,Tck,Tea,Tec,Thr,TRO,Vis,Wor,Cor,Fre,L Th,Pen,Nat,Height,Av Rat,Division,Injury Risk,Expires,30/6/2027,30/6/2028
,Lorenzo Pirola,D (LC),DC,ITA,23,Crystal Palace,"£51,000 p/w",£28M - £39M,Perfectionist,Very Strong,Weak,1,1,3,1,14,1,15,12,15,15,14,2,13,13,8,13,15,11,8,12,6,2,15,14,3,11,5,14,7,14,12,15,1,16,16,15,13,12,2,1,10,14,3,3,6,4,16,"6'1""",-,English Premier Division,Increased,30/6/2029,30/6/2029,30/6/2026
,Chris Richards,"D (RLC), WB (R)",DC,USA,25,Crystal Palace,"£50,000 p/w",£24M - £27M,Resolute,Fairly Strong,Very Strong,3,1,3,3,14,2,14,13,13,13,15,1,13,10,10,12,15,11,6,12,11,3,15,16,3,7,6,13,11,15,12,13,3,14,13,14,14,12,1,1,12,14,4,4,7,6,13,"6'2""",-,English Premier Division,High,30/6/2026,30/6/2026,30/6/2025
,Chadi Riad,D (C),DC,MAR,22,Crystal Palace,"£49,500 p/w",£39M - £51M,Fairly Determined,Very Strong,Reasonable,1,3,3,3,12,2,14,12,13,13,14,1,13,12,7,14,15,10,6,12,7,3,14,16,4,12,6,14,8,14,13,13,3,12,13,13,15,13,3,1,12,14,5,5,9,7,14,"6'2""",-,English Premier Division,Low,30/6/2028,30/6/2028,30/6/2027
Int,Marc Guéhi,D (C),DC,ENG,24,Crystal Palace,"£45,000 p/w",£46M - £51M,Resolute,Fairly Strong,Very Strong,2,3,3,1,15,1,11,15,14,14,13,2,14,14,7,13,15,13,9,14,11,4,13,14,2,15,8,14,9,14,13,15,1,14,14,15,13,15,2,3,11,14,5,7,9,8,16,"6'0""",-,English Premier Division,Low,30/6/2025,30/6/2025,30/6/2024
,Adam Wharton,"DM, M (C)",CM,ENG,21,Crystal Palace,"£45,000 p/w",£67M - £91M,Fairly Professional,Very Strong,Strong,1,2,1,4,13,2,12,14,12,16,12,2,11,13,12,11,14,14,8,16,15,3,9,12,1,7,10,7,11,13,16,12,3,13,10,11,13,16,1,3,16,14,13,13,2,11,13,"6'0""",-,English Premier Division,Increased,30/6/2028,30/6/2028,30/6/2025
,Daniel Muñoz,"D (RC), WB (R)",RB,COL,29,Crystal Palace,"£40,000 p/w",£8.6M - £9.4M,Fairly Determined,Weak,Very Strong,3,2,3,2,13,2,10,10,15,13,13,3,13,12,13,12,15,10,9,9,9,2,13,13,2,15,15,13,11,13,10,13,2,14,13,14,14,10,4,1,11,15,10,8,15,8,13,"5'11""",-,English Premier Division,Increased,30/6/2026,30/6/2026,
,Sergio Carreira,D/WB (R),RB,ESP,24,Crystal Palace,"£38,000 p/w",£15.5M - £20M,Balanced,Reasonable,Very Strong,2,1,2,1,14,2,15,13,14,15,15,1,14,13,13,13,14,13,7,12,10,2,9,6,3,8,8,13,12,14,13,13,1,14,12,12,14,14,2,1,12,13,7,7,12,7,10,"5'7""",-,English Premier Division,Increased,30/6/2028,30/6/2028,
ESC,Matheus França,"M (C), AM (LC)",AM,BRA,21,Crystal Palace,"£25,000 p/w",£25M - £30M,Resolute,Reasonable,Very Strong,1,3,3,2,14,2,11,15,12,13,12,4,12,12,10,12,15,14,10,14,15,1,10,11,3,8,12,10,12,14,14,11,1,12,11,11,12,14,1,4,13,12,13,9,3,11,15,"6'0""",-,English Premier Division,Increased,30/6/2027,30/6/2027,
,Fredrik Bjørkan,D/WB (L),LB,NOR,26,Crystal Palace,"£23,500 p/w",£5.2M - £7.2M,Fairly Professional,Very Strong,Weak,3,2,1,3,15,3,15,14,12,13,13,1,11,12,11,11,12,14,8,11,12,3,10,10,3,9,9,12,13,15,11,11,2,15,12,12,15,12,2,2,10,16,8,5,11,8,16,"5'11""",-,English Premier Division,Increased,30/6/2027,30/6/2027,
,Tomás Händel,"DM, M (C)",CM,POR,24,Crystal Palace,"£20,500 p/w",£9.6M - £11M,Fairly Professional,Very Strong,Weak,3,1,2,2,12,1,15,14,13,15,12,3,12,17,13,14,14,13,10,13,10,1,5,10,3,5,10,6,12,13,15,12,3,14,11,13,14,14,2,1,15,12,13,12,5,12,9,"5'11""",-,English Premier Division,Low,30/6/2028,30/6/2025,
,Dennis Seimen,GK,GK,GER,19,Crystal Palace,"£18,250 p/w",£16M - £24M,Driven,Very Strong,Weak,12,12,7,13,8,16,15,12,10,12,12,12,11,12,2,11,18,3,3,11,8,12,6,18,10,14,2,3,1,9,11,13,14,10,11,1,10,11,12,16,13,13,2,2,2,11,13,"6'4""",-,English Premier Division,Low,30/6/2028,,
,Remi Matthews,GK,GK,ENG,31,Crystal Palace,"£14,750 p/w",£375K - £600K,Balanced,Reasonable,Very Strong,11,10,13,12,8,14,7,12,10,11,12,11,9,12,1,11,9,1,1,8,1,11,6,15,13,9,3,2,5,9,5,12,11,14,13,2,12,10,11,12,9,9,3,6,3,2,10,"6'3""",-,English Premier Division,Increased,30/6/2027,,
Wnt,Jesurun Rak-Sakyi,"M (R), AM (RL)",AM,GHA,22,Crystal Palace,"£5,000 p/w",£11.5M - £13.5M,Fairly Professional,Very Strong,Reasonable,1,2,1,3,15,3,7,14,13,14,7,1,9,12,12,11,12,14,12,12,14,4,8,9,3,8,10,7,14,14,10,9,2,12,9,8,11,13,1,1,12,12,11,12,5,11,11,"5'10""",-,English Premier Division,Increased,30/6/2026,,
