Name,Position,Age,Nat,Height,Weight,Personality,Club,Transfer Value,Av Rat,Gls,Pens S,Pen/R,Shot/90,Shot %,ShT/90,xG,Asts/90,Ps C/90,Pas %,K Ps/90,Pr Passes,CCC,Cr A,Cr C/A,Tck/90,Tck R,Pres A,Pres C,K Tck,Int/90,Clear,Fls,Aer A/90,Hdrs W/90,Hdr %,Gl Mst,Drb/90,FA,Dist/90,Yel,Red,Off,Apps,Mins,Shots,Ast,Pens,Mins/Gm,ShT,Hdrs A,Cr C,Distance,Drb,Hdrs,Itc,K Pas,Pas A,Ps C,Tck A,Tck C,Expires,Wage,Preferred Foot,K Hdrs/90,Blk/90,xG/shot,Sprints/90,Poss Won/90,Poss Lost/90,Pres A/90,Pres C/90,Pr passes/90,xA/90,Blk,xGP,xSv %,Conv %,OP-KP/90,Svt,xGP/90,OP-KP,Sv %,Svh,Svp,Con/90,Cln/90,NP-xG/90,Pens Saved Ratio,NP-xG,Division,Style,Media Description,Media Handling,FK Shots,Ch C/90,Clr/90,Crs A/90,Cr C/90,Goals Outside Box,Hdrs L/90,K Tck/90,OP-Cr %,OP-Crs A/90,OP-Crs C/90,Ps A/90,Shts Blckd/90,Shots Outside Box/90,xG/90,Saves/90,Inf,Rec
João Pedro Galvão,ST (C),32,ITA,"6'0""",75 kg,Fairly Professional,Hull,£5M - £7.6M,6.8,2,1,100%,2.65,79%,2.08,2.46,-,17.77,82%,0.95,2,1,4,100%,0.76,67%,37,1,0,0.57,3,3,3.21,1.32,41%,0,0.57,8,11.7km,0,0,2,5 (4),476,14,0,1,52.89,11,17,1,62.1km,3,7,3,5,114,94,6,4,30/6/2024,"£21,000 p/w",Right,0.57,-,0.18,5.86,1.89,7.56,7,0.19,0.38,0.03,0,-,-,14%,0.19,-,-,1,-,-,-,-,-,0.32,-,1.67,Sky Bet Championship,Intelligent,Experienced striker,Media-friendly,2,0.19,0.57,0.76,0.19,0,1.89,0,25%,0.19,0.19,21.55,0,0.76,0.47,-,,- - -
Pepe Reina,GK,42,ESP,"6'2""",91 kg,Model Professional,Como,£65K - £650K,6.76,0,0,-,-,-,-,0,-,27.9,85%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,2,6.0km,0,0,0,10,900,0,0,0,90,-,-,-,59.9km,0,-,0,0,330,279,0,-,30/6/2024,"£28,000 p/w",Right,0,-,0,0,5,9.3,0,0,0,0,-,2.7,87%,-,0,2,0.27,0,72%,12,17,1.2,0.2,0,-,0,Italian Serie A,Distributor,Veteran goalkeeper,Level-headed,-,-,1.2,-,-,-,-,0,-,-,-,33,-,-,0,3,,- - -
Darko Brašanac,"DM, M/AM (C)",32,SRB,"5'10""",73 kg,Balanced,Leganés,£160K - £1.6M,6.79,0,0,-,-,-,-,0,-,49.12,95%,0.78,24,0,3,-,2.02,76%,59,15,0,1.87,3,11,5.28,3.11,59%,0,1.09,5,12.4km,2,0,0,7 (3),579,0,0,0,57.9,-,34,0,79.9km,7,20,12,5,333,316,17,13,30/6/2024,"£7,250 p/w",Right,0.78,0.16,0,11.81,11.35,7.77,9.17,2.33,3.73,0.04,1,-,-,-,0.78,-,-,5,-,-,-,-,-,0,-,0,Spanish First Division,Leader,Experienced midfielder,Media-friendly,0,-,0.47,0.47,0,0,2.18,0,0%,0.47,0,51.76,0.47,0,0,-,,- - -
Marko Dmitrović,GK,32,SRB,"6'3""",81 kg,Balanced,Leganés,£425K - £4.1M,6.93,0,0,-,-,-,-,0,-,20.53,84%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,3,5.4km,0,0,0,11,912,0,0,0,82.91,-,-,-,55.0km,0,-,0,0,248,208,0,-,30/6/2024,"£10,000 p/w",Left,0,-,0,0,4.44,7.01,0,0,0,0,-,4.46,90%,-,0,6,0.44,0,84%,18,29,0.99,0.49,0,-,0,Spanish First Division,Distributor,Experienced goalkeeper,Level-headed,-,-,7.8,-,-,-,-,0,-,-,-,24.47,-,-,0,5,,- - -
Song Bumkeun,GK,27,KOR,"6'5""",93 kg,Balanced,Shonan,£120K - £1.2M,6.89,0,0,-,-,-,-,0,-,12.57,59%,-,0,0,-,-,0.07,100%,0,0,0,-,-,0,-,-,-,0,-,17,1.3km,0,0,0,27 (1),"2,406",0,0,0,85.93,-,-,-,35.2km,0,-,0,0,565,336,2,2,31/1/2024,"£10,000 p/w",Right,0,-,0,0,1.2,1.87,0,0,0,0,-,3.8,87%,-,0,7,0.14,0,80%,10,19,1.27,0.3,0,100%,0,J1 League,Shot Stopper,Goalkeeper,Media-friendly,-,-,1.68,-,-,-,-,0,-,-,-,21.13,-,-,0,1,,- - -
Matías Dituro,GK,37,ARG,"6'3""",81 kg,Fairly Determined,Elche,£160K - £500K,7.12,0,0,-,-,-,-,0,-,22.64,80%,-,0,0,-,-,0.07,100%,0,0,0,-,-,0,-,-,-,0,-,4,5.7km,0,0,0,14,"1,260",0,0,0,90,-,-,-,79.6km,0,-,0,0,394,317,1,1,30/6/2024,"£14,250 p/w",Right,0,-,0,0,3.36,5.43,0,0,0,0,-,6.6,87%,-,0,6,0.47,0,83%,7,33,0.71,0.5,0,100%,0,Spanish Second Division,Distributor,Veteran goalkeeper,Level-headed,-,-,7.21,-,-,-,-,0,-,-,-,28.14,-,-,0,3,,- - -
Keisuke Osako,GK,25,JPN,"6'2""",87 kg,Fairly Determined,Hiroshima,£2.3M - £4.6M,6.92,0,0,-,-,-,-,0,-,15.23,61%,-,0,0,-,-,0.06,50%,0,0,0,-,-,0,-,-,-,0,-,7,4.8km,0,0,0,19,"1,625",0,0,0,85.53,-,-,-,86.3km,0,-,0,0,448,275,2,1,31/12/2026,"£11,500 p/w",Right,0,-,0,0,3.16,4.49,0,0,0,0,-,8.63,88%,-,0,8,0.48,0,73%,8,17,0.94,0.44,0,50%,0,J1 League,Distributor,Goalkeeper,Media-friendly,-,-,5.76,-,-,-,-,0,-,-,-,24.81,-,-,0,1,,- - -
Gakuji Ota,GK,33,JPN,"6'3""",82 kg,Balanced,Kyoto,Not for Sale,7.13,0,0,-,-,-,-,0,-,14.27,64%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,1,-,15,2.0km,0,0,0,33 (1),"2,882",0,0,0,84.76,-,-,-,62.8km,0,-,0,0,713,457,1,0,31/12/2025,"£12,750 p/w",Right,0,-,0,0,0.75,2.03,0,0,0,0,-,0.15,91%,-,0,6,0,0,73%,8,22,1.12,0.47,0,0%,0,J1 League,Distributor,Experienced goalkeeper,Media-friendly,-,-,2.22,-,-,-,-,0,-,-,-,22.27,-,-,0,1,,- - -
Daiya Maekawa,GK,30,JPN,"6'3""",86 kg,Balanced,Kobe,£150K - £1.5M,6.69,0,0,-,-,-,-,0,-,26.77,90%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,2,-,4,5.1km,0,0,0,14 (2),"1,264",0,0,0,79,-,-,-,72.0km,0,-,0,0,419,376,2,0,31/1/2024,"£8,500 p/w",Right,0,-,0,0,2.92,3.92,0,0,0,0,-,-1.69,90%,-,0,7,-0.12,0,69%,9,18,1.42,0.14,0,0%,0,J1 League,Assertive,Goalkeeper,Media-friendly,-,-,5.27,-,-,-,-,0,-,-,-,29.83,-,-,0,2,Wnt,- - -
Takumi Nagaishi,GK,28,JPN,"6'3""",86 kg,Balanced,Fukuoka,£1.9M - £4M,7.11,0,0,-,-,-,-,0,-,15.86,72%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,8,5.3km,0,0,0,14,"1,260",0,0,0,90,-,-,-,74.4km,0,-,0,0,307,222,0,-,31/12/2025,"£10,250 p/w",Right,0,-,0,0,2.93,5.93,0,0,0,0,-,-0.81,87%,-,0,6,-0.06,0,73%,10,22,1,0.43,0,-,0,J1 League,Distributor,Goalkeeper,Media-friendly,-,-,6.5,-,-,-,-,0,-,-,-,21.93,-,-,0,2,,- - -
Simon Mignolet,GK,36,BEL,"6'4""",88 kg,Professional,Club Brugge,Not for Sale,6.84,0,0,-,-,-,-,0,-,15.15,68%,-,0,0,-,-,0,0%,0,0,0,-,-,0,-,-,-,0,-,9,4.0km,0,0,0,18,"1,592",0,0,0,88.44,-,-,-,71.3km,0,-,0,0,392,268,2,0,30/6/2025,"£73,000 p/w",Right Only,0,-,0,0,2.49,3.96,0,0,0,0,-,2.21,86%,-,0,6,0.12,0,68%,6,19,0.96,0.45,0,0%,0,Jupiler Pro League,Shot Stopper,Veteran goalkeeper,Reserved,-,-,0.51,-,-,-,-,0,-,-,-,22.16,-,-,0,1,,- - -
Tomoki Hayakawa,GK,25,JPN,"6'2""",81 kg,Balanced,Kashima,£10K - £5.2M,6.83,0,0,-,-,-,-,0,-,15.79,73%,-,0,0,-,-,0.16,100%,0,0,0,-,-,1,-,-,-,0,-,5,5.6km,1,0,0,13,"1,134",0,0,0,87.23,-,-,-,71.1km,0,-,0,0,271,199,2,2,31/12/2026,"£11,250 p/w",Right,0,-,0,0,2.78,7.38,0,0,0,0,-,1.09,91%,-,0,16,0.09,0,77%,13,24,1.35,0.24,0,100%,0,J1 League,Shot Stopper,Goalkeeper,Media-friendly,-,-,6.59,-,-,-,-,0,-,-,-,21.51,-,-,0,4,,- - -
Brayan Cortés,GK,29,CHI,"6'1""",81 kg,Balanced,Colo Colo,£190K - £1.9M,7.24,0,0,-,-,-,-,0,-,14.26,55%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,6,3.8km,0,0,0,8 (2),707,0,0,0,70.7,-,-,-,29.5km,0,-,0,0,203,112,0,-,31/12/2024,"£9,250 p/w",Right,0,-,0,0,2.42,5.47,0,0,0,0,-,2.06,92%,-,0,5,0.26,0,84%,6,11,1.15,0.51,0,-,0,Chilean First Division,Shot Stopper,Goalkeeper,Level-headed,-,-,4.33,-,-,-,-,0,-,-,-,25.84,-,-,0,2,,- - -
Rafał Gikiewicz,GK,37,POL,"6'3""",81 kg,Fairly Determined,Widzew,£70K - £220K,6.66,0,0,-,-,-,-,0,-,11.81,59%,-,0,0,-,-,0.06,50%,0,0,0,-,-,1,-,-,-,0,-,14,0.0km,1,0,0,16,"1,440",0,0,0,90,-,-,-,0.0km,0,-,0,0,320,189,2,1,30/6/2024,"£3,300 p/w",Right Only,0,-,0,0,0,0,0,0,0,0,-,0,0%,-,0,0,0,0,0%,0,0,1.31,0.38,0,50%,0,PKO Bank Polski Ekstraklasa,Assertive,Well-travelled goalkeeper,Outspoken,-,-,0,-,-,-,-,0,-,-,-,20,-,-,0,-,,- - -
Łukasz Skorupski,GK,33,POL,"6'2""",84 kg,Fairly Professional,Bologna,£210K - £2.1M,6.88,0,0,-,-,-,-,0,-,26.6,82%,-,0,0,-,-,0.06,25%,0,0,0,-,-,0,-,-,-,0,-,10,7.0km,0,0,0,17,"1,560",0,0,0,91.76,-,-,-,121.3km,0,-,0,0,559,461,4,1,30/6/2024,"£27,500 p/w",Right,0,-,0,0,3.69,7.56,0,0,0,0,-,2.32,86%,-,0,13,0.13,0,71%,12,27,1.27,0.29,0,25%,0,Italian Serie A,Shot Stopper,Experienced goalkeeper,Reserved,-,-,0.69,-,-,-,-,0,-,-,-,32.25,-,-,0,3,,- - -
Ryosuke Kojima,GK,27,JPN,"6'0""",82 kg,Fairly Determined,Niigata,£50K - £475K,6.97,0,0,-,-,-,-,0,-,12.33,59%,-,0,0,-,-,0.03,100%,0,0,0,-,-,0,-,-,-,0,-,15,2.0km,0,0,0,32,"2,803",0,0,0,87.59,-,-,-,61.3km,0,-,0,0,648,384,1,1,31/1/2024,"£7,750 p/w",Left,0,-,0,0,1.28,2.05,0,0,0,0,-,3.71,90%,-,0,6,0.12,0,75%,5,25,1.32,0.22,0,100%,0,J1 League,Shot Stopper,Goalkeeper,Level-headed,-,-,2.92,-,-,-,-,0,-,-,-,20.81,-,-,0,1,Wnt,- - -
Shuichi Gonda,GK,35,JPN,"6'2""",84 kg,Balanced,Shimizu,£60K - £180K,7.45,0,0,-,-,-,-,0,-,12.59,62%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,22,0.2km,0,0,0,40 (1),"3,604",0,0,0,87.9,-,-,-,6.9km,0,-,0,0,819,504,0,-,31/1/2024,"£6,250 p/w",Right Only,0,-,0,0,0.05,0.2,0,0,0,0,-,-0.73,82%,-,0,0,-0.02,0,60%,0,3,1.35,0.27,0,-,0,J2 League,Distributor,Veteran goalkeeper,Media-friendly,-,-,0.25,-,-,-,-,0,-,-,-,20.45,-,-,0,0,Wnt,- - -
Samuel Umtiti,D (C),30,FRA,"6'0""",75 kg,Balanced,LOSC,£375K - £3.8M,6.4,0,0,-,-,-,-,0,-,60.94,96%,-,4,0,0,-,0,0%,6,1,0,0.71,1,2,6.38,2.83,44%,0,-,0,12.3km,0,0,1,2,127,0,0,0,63.5,-,9,0,17.3km,0,4,1,0,90,86,1,0,30/6/2024,"£52,000 p/w",Left,0.71,0.71,0,5.67,22.68,1.42,4.25,0.71,2.83,0,1,-,-,-,0,-,-,0,-,-,-,-,-,0,-,0,Ligue 1 Uber Eats,Intelligent,Centre-back,Media-friendly,0,-,0.71,0,0,0,3.54,0,-,0,0,63.78,1.42,0,0,-,,- - -
Paul Onuachu,ST (C),30,NGA,"6'7""",93 kg,Balanced,Southampton,£4.4M - £8M,-,0,0,-,-,-,-,0,-,-,100%,-,0,0,0,-,-,100%,2,0,0,-,0,1,-,-,-,0,-,0,-,0,0,1,0 (3),19,0,0,0,6.33,-,0,0,4.2km,0,-,0,0,12,12,1,1,30/6/2024,"£30,000 p/w",Right,-,-,0,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,-,0,English Premier Division,Physical,Striker,Media-friendly,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,,- - -
Lawrence Zigi,GK,27,GHA,"6'2""",87 kg,Balanced,St. Gallen,£4.3M - £8M,6.98,0,0,-,-,-,-,0,-,14.91,65%,-,0,0,-,-,0.07,50%,0,0,0,-,-,1,-,-,-,0,-,4,3.9km,1,0,0,14,"1,207",0,0,0,86.21,-,-,-,52.8km,0,-,0,0,310,200,2,1,30/6/2026,"£4,000 p/w",Right,0,-,0,0,2.16,4.1,0,0,0,0,-,0.63,89%,-,0,1,0.05,0,77%,10,23,1.19,0.45,0,50%,0,Swiss Super League,Assertive,Goalkeeper,Level-headed,-,-,0.67,-,-,-,-,0,-,-,-,23.12,-,-,0,2,,- - -
Łukasz Fabiański,GK,39,POL,"6'3""",83 kg,Professional,West Ham,£100K - £1M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/6/2024,"£60,000 p/w",Right Only,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,English Premier Division,Shot Stopper,Veteran goalkeeper,Level-headed,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,- - -
Jiří Pavlenka,GK,32,CZE,"6'5""",81 kg,Fairly Professional,PAOK,£650K - £7.8M,6.88,0,0,-,-,-,-,0,-,15.99,63%,-,0,0,-,-,0.09,50%,0,0,0,-,-,0,-,-,-,0,-,8,3.9km,0,0,0,10 (1),968,0,0,0,88,-,-,-,42.4km,0,-,0,0,271,172,2,1,30/6/2024,"£25,500 p/w",Right Only,0,-,0,0,1.49,4.93,0,0,0,0,-,-0.53,89%,-,0,3,-0.05,0,76%,5,12,1.49,0.28,0,50%,0,Greek Super League 1,Shot Stopper,Experienced goalkeeper,Reserved,-,-,4.83,-,-,-,-,0,-,-,-,25.2,-,-,0,1,,- - -
Roman Bürki,GK,33,SUI,"6'2""",83 kg,Fairly Professional,St. Louis CITY,Not for Sale,6.81,0,0,-,-,-,-,0,-,14.36,65%,-,0,0,-,-,-,-,0,0,0,-,-,1,-,-,-,0,-,22,0.8km,1,0,0,31 (1),"2,807",0,0,0,87.72,-,-,-,24.4km,0,-,0,0,694,448,0,-,31/12/2025,"£17,500 p/w",Right Only,0,-,0,0,0.77,0.71,0,0,0,0,-,1.43,92%,-,0,0,0.05,0,80%,2,10,1.51,0.26,0,-,0,Major League Soccer,Distributor,Experienced goalkeeper,Level-headed,-,-,0.06,-,-,-,-,0,-,-,-,22.25,-,-,0,0,,- - -
Mitchell Weiser,D/WB/M (R),30,ALG,"5'10""",70 kg,Balanced,SV Werder,£120K - £5.2M,6.83,0,0,-,-,-,-,0,-,33.29,87%,1.14,31,2,41,14%,3.16,86%,98,26,0,3.04,8,13,2.66,1.27,48%,0,4.05,15,13.0km,1,1,1,8,711,0,0,0,88.88,-,21,6,102.4km,32,10,24,9,303,263,29,25,30/6/2024,"£22,000 p/w",Right,0,1.01,0,16.2,10.51,16.33,12.41,3.29,3.92,0.17,8,-,-,-,1.14,-,-,9,-,-,-,-,-,0,-,0,Bundesliga,Technical,Attacking full back,Media-friendly,0,0.25,1.01,5.19,0.76,0,1.39,0,15%,5.19,0.76,38.35,0.13,0,0,-,,- - -
Pathé Ciss,"DM, M (C)",30,SEN,"6'0""",71 kg,Balanced,Vallecano,£550K - £4.2M,6.68,0,0,-,0.7,33%,0.23,0.17,-,47.7,88%,1.17,23,1,2,-,2.35,59%,31,17,0,1.41,5,5,5.64,4.7,83%,0,0.47,2,13.8km,0,0,0,2 (7),383,3,0,0,42.56,1,24,0,58.7km,2,20,6,5,232,203,17,10,30/6/2026,"£13,000 p/w",Right,0.47,0.23,0.06,12.69,9.63,7.75,7.28,3.99,5.4,0.09,1,-,-,-,1.17,-,-,5,-,-,-,-,-,0.04,-,0.17,Spanish First Division,Physical,Defensive midfielder,Media-friendly,0,0.23,1.17,0.47,0,0,0.94,0,0%,0.47,0,54.52,0,0.23,0.04,-,,- - -
Niklas Hedl,GK,23,AUT,"6'2""",81 kg,Resolute,SK Rapid,£7.6M - £9.6M,6.95,0,0,-,-,-,-,0,-,12.73,58%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,4,2.8km,0,0,0,11,990,0,0,0,90,-,-,-,30.8km,0,-,0,0,241,140,0,-,30/6/2026,"£5,750 p/w",Right,0,-,0,0,1.64,2.73,0,0,0,0,-,3.89,90%,-,0,2,0.35,0,85%,3,7,0.73,0.45,0,-,0,Austrian Premier Division,Distributor,Goalkeeper,Reserved,-,-,2.64,-,-,-,-,0,-,-,-,21.91,-,-,0,1,,- - -
Sinan Bolat,GK,36,TUR,"6'2""",77 kg,Fairly Determined,Westerlo,Not for Sale,6.6,0,0,-,-,-,-,0,-,11.86,59%,-,0,0,-,-,-,-,0,0,0,-,-,0,-,-,-,0,-,5,0.0km,0,0,0,14,"1,260",0,0,0,90,-,-,-,0.0km,0,-,0,0,280,166,0,-,30/6/2025,"£15,000 p/w",Right Only,0,-,0,0,0,0,0,0,0,0,-,0,0%,-,0,0,0,0,0%,0,0,1.21,0.29,0,-,0,Jupiler Pro League,Distributor,Veteran goalkeeper,Level-headed,-,-,0,-,-,-,-,0,-,-,-,20,-,-,0,-,,- - -
Tatsuya Morita,GK,34,JPN,"6'3""",86 kg,Balanced,Kashiwa,£20K - £200K,6.78,0,0,-,-,-,-,0,-,17.18,64%,-,0,0,-,-,0.07,33%,0,0,0,-,-,1,-,-,-,0,-,8,4.3km,1,0,0,15 (2),"1,362",0,0,0,80.12,-,-,-,64.7km,0,-,0,0,406,260,3,1,31/1/2024,"£7,750 p/w",Right Only,0,-,0,0,2.44,4.56,0,0,0,0,-,4.55,87%,-,0,7,0.3,0,75%,16,24,1.52,0.33,0,33%,0,J1 League,Distributor,Experienced goalkeeper,Media-friendly,-,-,5.09,-,-,-,-,0,-,-,-,26.83,-,-,0,3,Wnt,- - -
